Genre,Reports,Age,Gpa,Year,Count,Gender,report_length,Priority,Category,Synthetic,Created_Date
Academic Support and Resources, The teaching assistants for this course are not helpful at all. They don't know the material and can't answer any of my questions.,22.0,1.08,2.0,1.0,M,131.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The grading scale for this course is too harsh. It's almost impossible to get an A and it's discouraging me from trying my best.,18.0,3.55,2.0,1.0,M,129.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, I am disappointed with the quality of education I am receiving in this course. I expected more from a university.,24.0,0.37,2.0,1.0,M,114.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The professor for this course is disorganized and doesn't seem to have a plan. I am not learning anything and it's frustrating.,16.0,3.97,2.0,1.0,M,128.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The cost of attending this university is outrageous. I don't know how I'm going to afford it.,20.0,3.37,2.0,1.0,F,94.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The textbook for this course is not helpful at all. It's poorly written and doesn't explain anything clearly.,25.0,1.15,2.0,1.0,M,110.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, I am very concerned about the lack of diversity in this course. We are not getting a well-rounded education.,19.0,2.09,2.0,1.0,F,109.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The professor for this course is biased and it's affecting my grade. They seem to have favorites and it's not fair.,18.0,1.73,2.0,1.0,F,116.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The workload for this course is overwhelming. I don't have enough time to complete everything and it's affecting my other classes.,27.0,0.81,2.0,1.0,F,131.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, I wish there were more opportunities for extra credit in this course. It would help my grade and encourage me to learn more.,26.0,2.68,2.0,1.0,F,125.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The professor for this course is not approachable. I am scared to ask them for help and it's hindering my success.,27.0,3.12,2.0,1.0,F,115.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The course fees are too high for what we're getting. We're not getting our money's worth.,21.0,1.55,2.0,1.0,M,90.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The grading system for this course is too subjective. It's hard to know what the professor wants and it's affecting my grade.,25.0,3.12,2.0,1.0,M,126.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The professor for this course is disinterested and it shows in their lectures. I am not learning anything and it's frustrating.,18.0,3.14,2.0,1.0,F,128.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, The textbook for this course is full of errors and mistakes. It's hard to learn from something that's not accurate.,19.0,1.7,2.0,1.0,F,116.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources, I am concerned about the lack of academic rigor in this course. We,16.0,1.68,2.0,1.0,F,67.0,LOW,Original,False,2026-03-26
Academic Support and Resources,Limited access to technology and software is hindering my ability to do my coursework. I can't afford to buy expensive programs on my own.,24.0,1.77,2.0,1.0,F,138.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm trying to graduate early but there are only a few courses available that I need to take. It's frustrating that my options are so limited.,24.0,3.74,2.0,1.0,M,141.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The online system for accessing course materials is always down or glitchy. It's hard to get work done when I can't even access my assignments.,16.0,2.18,2.0,1.0,M,143.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I wish there were more opportunities to access research databases and materials outside of the library. It would be nice to have more options and flexibility.,24.0,1.74,2.0,1.0,M,158.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's really difficult to find the course materials I need for my classes because they're spread out across so many different resources. I wish there was a more streamlined system.,18.0,0.55,2.0,1.0,F,179.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The lack of available courses is making it hard for me to fulfill all of my degree requirements. I'm worried I won't be able to graduate on time.,22.0,1.76,2.0,1.0,M,145.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"I'm having trouble with a particular software program for one of my classes, but there's no one available to help me troubleshoot. It's frustrating to feel like I'm on my own.",21.0,1.4,2.0,1.0,M,175.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to research databases and materials is especially frustrating when I'm trying to write a thesis or do original research. It feels like I'm hitting a wall.,24.0,1.69,2.0,1.0,M,169.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm an international student and I'm having trouble accessing some of the online resources because of regional restrictions. It's frustrating to feel like I'm missing out because of where I'm from.,26.0,2.27,2.0,1.0,M,197.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm a transfer student and I feel like I'm at a disadvantage because I don't have access to all of the same resources and databases as students who started at this university.,22.0,3.78,2.0,1.0,F,175.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm a student with a disability and I'm having trouble accessing the technology and software I need to do my coursework. It's frustrating to feel like my needs aren't being accommodated.,26.0,3.06,2.0,1.0,M,186.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's frustrating to have limited access to academic advisors because they're the ones who can help me plan my degree and make sure I'm on track to graduate.,16.0,3.53,2.0,1.0,F,156.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I wish there were more options for accessing course materials online so that I don't have to physically go to the library or bookstore every time I need something.,17.0,2.85,2.0,1.0,M,163.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's hard to do group projects when we have limited access to technology and software. It puts us at a disadvantage compared to other groups.,27.0,1.16,2.0,1.0,F,141.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm having trouble accessing research databases and materials because the library hours are limited and they're often closed when I have time to study.,17.0,1.91,2.0,1.0,M,151.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to research databases and materials makes it hard to stay up-to-date with the latest developments in my field of study. It feels like I'm falling behind.,16.0,1.08,2.0,1.0,M,168.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to technology and software is making it hard to keep up with the pace of coursework. It feels like I'm constantly playing catch-up.,26.0,2.6,2.0,1.0,M,146.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The lack of available courses is making it hard to take electives that interest me. I feel like my academic options are too limited.,18.0,3.75,2.0,1.0,F,132.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to academic advisors is making me feel like I'm on my own when it comes to making important academic decisions.,18.0,2.18,2.0,1.0,M,126.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's frustrating that we have such limited access to academic advisors. It makes it difficult to plan our academic careers and get the guidance we need.,21.0,0.29,2.0,1.0,M,152.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm really struggling with finding and accessing course materials. It's making it hard to keep up with the coursework.,26.0,0.95,2.0,1.0,F,118.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I wish there was more course availability. It's frustrating to have limited options for classes and not be able to take what we need.,27.0,0.93,2.0,1.0,F,133.0,LOW,Original,False,2026-03-26
Academic Support and Resources,Limited access to technology and software is a major issue. It's hindering our ability to complete assignments and keep up with the demands of our courses.,27.0,0.52,2.0,1.0,M,155.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to research databases and materials is a huge problem. It makes it difficult to complete research assignments and write papers.,17.0,3.27,2.0,1.0,F,146.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's really frustrating that we don't have better access to academic advisors. It's causing a lot of stress and anxiety.,26.0,3.2,2.0,1.0,F,120.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The difficulty in finding and accessing course materials is making it hard to succeed in our classes.,25.0,1.38,2.0,1.0,F,101.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited course availability is a huge problem for students. We need more options for classes to be able to meet our academic goals.,25.0,2.27,2.0,1.0,F,131.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to technology and software is preventing us from being able to complete assignments on time and to the best of our ability.,27.0,0.57,2.0,1.0,F,138.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,16.0,1.12,2.0,1.0,F,154.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I feel like I'm not getting the support I need from academic advisors. Limited access to them is making it difficult to plan my academic career.,17.0,1.67,2.0,1.0,M,144.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The difficulty in finding and accessing course materials is a major source of stress for students. It's important that we have access to what we need to succeed.,18.0,1.35,2.0,1.0,M,161.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited course availability is a major issue for students. We need more options to be able to take the classes we need.,21.0,0.36,2.0,1.0,M,119.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to technology and software is a major problem. It's impacting our ability to succeed in our courses and prepare for the workforce.,16.0,3.49,2.0,1.0,F,145.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration among students. We need better access to be able to succeed academically.,19.0,0.3,2.0,1.0,M,160.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's really hard to succeed academically when we have limited access to academic advisors. We need more support.,17.0,2.8,2.0,1.0,F,112.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The difficulty in finding and accessing course materials is a barrier to success for many students. It's important that we have access to what we need to succeed.,18.0,3.49,2.0,1.0,F,162.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited course availability is causing a lot of stress for students. We need more options to be able to take the classes we need.,16.0,3.83,2.0,1.0,M,129.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,24.0,1.94,2.0,1.0,M,152.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to research databases and materials is making it hard to complete assignments and write papers. We need better access.,23.0,2.28,2.0,1.0,F,137.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's really frustrating to not have more access to academic advisors. It's important that we have support to be able to plan our academic careers.,26.0,0.09,2.0,1.0,F,146.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The difficulty in finding and accessing course materials is a major issue. It's important that we have access to what we need to succeed academically.,21.0,2.48,1.0,1.0,F,150.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited course availability is impacting our ability to graduate on time and meet our academic goals. We need more options.,16.0,1.19,1.0,1.0,M,123.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to technology and software is a major issue for students. It's important that we have access to the tools we need to succeed academically and in the workforce.,21.0,1.15,1.0,1.0,M,174.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to research databases and materials is causing a lot of frustration for students. It's important that we have better access to complete our coursework.,24.0,2.98,1.0,1.0,F,170.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"Academic advisors are so important, but the limited access to them is making it difficult to plan our academic careers and succeed.",24.0,2.66,1.0,1.0,F,131.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The difficulty in finding and accessing course materials is causing a lot of stress for students.,18.0,3.03,1.0,1.0,F,97.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's frustrating not being able to find the resources I need for my research projects due to the limited access to research databases and materials.,23.0,1.17,1.0,1.0,M,148.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited course availability is making it difficult to schedule my classes for next semester.,19.0,1.09,1.0,1.0,M,92.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The difficulty in finding and accessing course materials is really hindering my ability to study effectively.,17.0,0.7,1.0,1.0,F,109.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"The lack of access to academic advisors is really concerning, especially when I have questions about course selection and career planning.",26.0,0.44,1.0,1.0,F,138.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to technology and software is making it difficult to complete assignments and stay up to date with my coursework.,24.0,0.69,1.0,1.0,M,128.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm worried that my research projects won't be up to standard due to the limited access to research databases and materials.,21.0,1.4,1.0,1.0,M,124.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited course availability is making it impossible to complete my degree requirements on time.,20.0,1.03,1.0,1.0,F,95.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I feel like I'm falling behind in my courses due to the difficulty in finding and accessing course materials.,16.0,3.41,1.0,1.0,M,109.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"The lack of access to academic advisors is really frustrating, especially when I need help with scheduling or resolving academic issues.",19.0,1.5,1.0,1.0,F,136.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to technology and software is impacting my ability to compete with my peers and prepare for my future career.,18.0,0.03,1.0,1.0,F,124.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm struggling to find the necessary course materials for my courses due to the limited access available.,18.0,2.51,1.0,1.0,F,105.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to academic advisors is making it difficult for me to plan my academic career and get the support I need.,20.0,3.56,1.0,1.0,F,124.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited course availability is causing me to have to adjust my academic plans and career aspirations.,27.0,2.23,1.0,1.0,F,101.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to technology and software is causing me to fall behind in my coursework and struggle with assignments.,19.0,0.93,1.0,1.0,M,118.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm worried about the quality of my research projects due to the limited access to research databases and materials.,17.0,2.33,1.0,1.0,M,116.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The difficulty in finding and accessing course materials is causing me to spend unnecessary time and resources trying to complete assignments.,16.0,2.46,1.0,1.0,F,142.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to academic advisors is causing me to feel unsupported and disconnected from my academic goals.,17.0,0.37,1.0,1.0,F,110.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited course availability is causing me to miss out on valuable academic opportunities and experiences.,27.0,2.57,1.0,1.0,F,105.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to technology and software is causing me to have to use outdated tools and resources for my coursework.,18.0,2.36,1.0,1.0,M,122.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I feel like I'm not able to reach my full academic potential due to the limited access to research databases and materials.,21.0,2.64,1.0,1.0,M,123.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The difficulty in finding and accessing course materials is causing me to feel stressed and overwhelmed with my coursework.,26.0,0.43,1.0,1.0,M,123.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to academic advisors is causing me to feel lost and unsupported in my academic journey.,17.0,1.6,1.0,1.0,M,102.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm concerned that my academic achievements and career prospects will be impacted by the limited course availability.,23.0,2.41,1.0,1.0,F,117.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to technology and software is causing me to feel unprepared for the demands of the modern workforce.,20.0,3.87,1.0,1.0,F,119.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to research databases and materials is making it difficult to produce high-quality research projects and assignments.,24.0,2.14,1.0,1.0,F,136.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I'm struggling to keep up with my coursework due to the difficulty in finding and accessing course materials.,27.0,1.31,1.0,1.0,M,109.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to academic advisors is causing me to feel like I'm not receiving the guidance I need to succeed academically.,18.0,3.07,1.0,1.0,F,125.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited course availability is causing me to have to change my academic plans and goals.,20.0,2.21,1.0,1.0,M,88.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to technology and software is causing me to feel like I'm not developing the skills I need to succeed in my future career.,21.0,1.64,1.0,1.0,M,141.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to research databases and materials is causing me to feel like I'm not able to fully explore my academic interests.,22.0,1.86,1.0,1.0,M,134.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The difficulty in finding and accessing course materials is causing me to waste time and money trying to complete assignments.,17.0,1.73,1.0,1.0,M,126.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to academic advisors is causing me to feel like I'm not receiving the academic support I need.,20.0,3.56,1.0,1.0,F,109.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited course availability is causing me to feel like I'm not able to fully engage with my academic studies.,25.0,1.31,1.0,1.0,M,109.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"As a student in a remote area, I'm struggling to access the required course materials due to limited availability online.",16.0,3.01,1.0,1.0,F,121.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,It's frustrating when you can't access research databases and materials you need for your assignments because they're only available in the library and you can't visit it.,16.0,3.8,1.0,1.0,F,171.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to technology and software is hindering my ability to complete my coursework to the best of my ability.,27.0,0.15,1.0,1.0,F,122.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I am paying a significant amount for tuition and it's disappointing that I can't access all the resources I need for my studies.,16.0,0.86,1.0,1.0,M,128.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited course availability makes it difficult for me to plan my academic schedule and complete my degree in a timely manner.,27.0,2.8,1.0,1.0,M,129.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I wish there were more academic advisors available to guide me through my degree program and answer my questions.,20.0,0.99,1.0,1.0,F,113.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to academic resources has made it difficult for me to achieve the grades I am capable of.,17.0,0.44,1.0,1.0,F,104.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I am struggling to find and access course materials needed for my classes due to limited availability in the library and online.,27.0,3.64,1.0,1.0,M,128.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The lack of access to research databases and materials is hindering my ability to conduct thorough research for my papers.,23.0,3.23,1.0,1.0,F,122.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"It's frustrating to not have access to the latest technology and software, especially when it's required for certain classes.",20.0,3.86,1.0,1.0,F,125.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to academic resources is preventing me from fully engaging in my studies and reaching my full potential.,18.0,1.45,1.0,1.0,F,123.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I am finding it difficult to complete my assignments due to the limited access to technology and software I need.,16.0,2.45,1.0,1.0,F,113.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"Limited access to academic resources is causing unnecessary stress and anxiety, which is negatively affecting my academic performance.",19.0,3.51,1.0,1.0,F,134.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"It's frustrating to know that there are research databases and materials that could benefit my studies, but I don't have access to them.",19.0,0.31,1.0,1.0,M,136.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I wish there were more academic advisors available to guide me through my degree program and help me make the most of my university experience.,25.0,0.9,1.0,1.0,M,143.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited course availability is causing scheduling conflicts and making it difficult to plan out my academic path.,19.0,1.99,1.0,1.0,F,117.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to technology and software is preventing me from exploring new fields and expanding my knowledge.,26.0,1.23,1.0,1.0,F,116.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I am paying for access to academic resources and it's disappointing that they're not readily available to me.,17.0,1.74,1.0,1.0,M,109.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to research databases and materials is making it difficult for me to complete my thesis.,25.0,1.59,1.0,1.0,M,107.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"I wish there were more opportunities to access academic resources, such as extended library hours or online resources.",23.0,0.7,1.0,1.0,F,118.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to academic resources is making it difficult to pursue my academic interests and passions.,18.0,3.08,1.0,1.0,F,109.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I am finding it difficult to complete my assignments on time due to the limited access to technology and software.,16.0,1.28,1.0,1.0,M,114.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to academic resources is preventing me from making the most of my university experience and achieving my academic goals.,21.0,0.21,1.0,1.0,F,135.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited course availability is preventing me from taking the classes I need to complete my degree.,17.0,3.58,1.0,1.0,M,102.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I wish there were more academic advisors available to provide guidance and support throughout my university experience.,23.0,2.44,1.0,1.0,M,119.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to technology and software is hindering my ability to prepare for my future career.,25.0,1.94,1.0,1.0,M,102.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to academic resources is creating a disadvantage for me compared to other students who have greater access.,16.0,2.99,1.0,1.0,F,122.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,The limited access to research databases and materials is making it difficult to conduct quality research for my papers.,17.0,0.64,1.0,1.0,M,120.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"I am struggling to find and access the course materials I need, which is negatively affecting my academic performance.",25.0,1.25,1.0,1.0,M,118.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,Limited access to academic resources is making it difficult for me to fully engage in my studies and take advantage of all that my university has to offer.,23.0,1.82,1.0,1.0,F,155.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"I'm finding the academic workload really overwhelming, and it's been a struggle to keep up with all the assignments.",18.0,0.69,1.0,1.0,F,116.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"The course material is extremely challenging, and I often feel like I don't fully understand it.",25.0,0.15,1.0,1.0,F,96.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,I've been struggling with my time management skills lately and it's been affecting my grades. I really need to get better at prioritizing my tasks.,22.0,2.57,1.0,1.0,M,147.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"Balancing work and academic responsibilities has been a real challenge for me, and I often feel like I'm being pulled in two different directions.",19.0,1.26,1.0,1.0,F,146.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"I'm finding it difficult to balance my extracurricular activities with my academic work, and I'm often left feeling stressed and overwhelmed.",26.0,2.7,1.0,1.0,M,141.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"Lack of sleep and fatigue has been a real issue for me lately, and it's been affecting my ability to focus and stay motivated.",27.0,1.4,1.0,1.0,M,126.0,LOW,Original,False,2026-03-26
Academic Support and Resources,"I've been dealing with a lot of stress and anxiety lately, and it's been really tough to stay on top of my schoolwork.",18.0,0.96,1.0,1.0,M,118.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"Mental health concerns have been a major factor in my academic performance, and I really need to prioritize self-care in order to succeed.",21.0,2.8,1.0,1.0,F,138.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"I'm struggling to keep up with the academic workload, and it's been causing me a lot of stress and anxiety.",20.0,0.39,1.0,1.0,F,107.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"The course material is really challenging, and I often feel like I'm in over my head.",26.0,3.56,1.0,1.0,F,85.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"I'm not very good at managing my time, and I often find myself struggling to balance my academic work with my other commitments.",26.0,1.88,1.0,1.0,M,128.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"Balancing work and academic responsibilities has been a real struggle for me, and it's been affecting my grades.",16.0,2.7,1.0,1.0,F,112.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"I often have conflicts with my other commitments, and it's been difficult to find time to focus on my schoolwork.",25.0,0.96,1.0,1.0,F,113.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"I've been feeling really tired and burnt out lately, and it's been hard to stay motivated to study.",17.0,0.62,1.0,1.0,M,99.0,LOW,Original,False,2026-03-26
Academic Support and Resources,"The stress and anxiety of college life has been getting to me, and I'm having trouble focusing on my coursework.",21.0,3.52,1.0,1.0,M,112.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"My mental health has been a major factor in my academic performance, and I need to prioritize self-care in order to succeed.",27.0,2.68,1.0,1.0,F,124.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"I'm feeling really overwhelmed by the academic workload, and I'm struggling to keep up with everything.",16.0,1.32,1.0,1.0,F,103.0,MEDIUM,Original,False,2026-03-26
Academic Support and Resources,"The course material is really difficult, and I often feel like I don't fully understand it.",18.0,3.55,1.0,1.0,F,91.0,MEDIUM,Original,False,2026-03-26
